pickup_datetime,dropoff_datetime,pickup_latitude,pickup_longitude,dropoff_latitude,dropoff_longitude,passenger_count,fare_amount,trip_distance_km,trip_duration_min,surge_multiplier,pickup_zone,dropoff_zone
2025-10-03 12:04:07,2025-10-03 12:58:18,12.971241,77.749125,12.881364,77.572135,1,455.72,21.629,54.19,1.0,Whitefield,Bannerghatta
2025-10-02 07:36:32,2025-10-02 08:19:31,12.963354,77.739736,12.930289,77.593332,1,358.77,16.286,42.99,1.0,Whitefield,Jayanagar
2025-10-09 03:42:50,2025-10-09 04:07:27,13.097472,77.594503,12.974958,77.62513,1,297.24,14.021,24.62,1.0,Yelahanka,Indiranagar
2025-10-01 04:34:47,2025-10-01 05:01:59,12.933563,77.613585,13.075774,77.588786,1,430.82,16.04,27.2,1.3,Koramangala,Yelahanka
2025-10-10 06:16:25,2025-10-10 06:53:33,12.85136,77.69485,12.940304,77.628507,1,289.13,12.228,37.14,1.0,Electronic_City,Koramangala
2025-10-08 23:13:48,2025-10-08 23:28:22,13.034182,77.589504,12.922608,77.598019,3,258.47,12.441,14.57,1.0,Hebbal,Jayanagar
2025-10-05 00:57:47,2025-10-05 01:06:48,12.89009,77.582411,12.943264,77.627335,1,178.43,7.659,9.02,1.0,Bannerghatta,Koramangala
2025-10-07 17:56:25,2025-10-07 18:31:46,13.008569,77.559466,12.925607,77.591976,2,251.16,9.875,35.36,1.0,Rajajinagar,Jayanagar
2025-10-04 09:14:04,2025-10-04 10:03:30,13.037755,77.601334,12.980112,77.754134,1,390.44,17.752,49.44,1.0,Hebbal,Whitefield
2025-10-09 20:23:01,2025-10-09 20:43:57,12.925264,77.594476,12.967809,77.64254,1,186.95,7.036,20.94,1.0,Jayanagar,Indiranagar
2025-10-07 22:09:25,2025-10-07 22:32:51,12.929472,77.621451,12.845106,77.668031,1,244.95,10.653,23.43,1.0,Koramangala,Electronic_City
2025-10-08 13:50:44,2025-10-08 14:30:29,12.982847,77.757552,12.832502,77.683623,1,387.71,18.539,39.75,1.0,Whitefield,Electronic_City
2025-10-07 02:32:17,2025-10-07 03:03:02,13.022142,77.55187,12.957389,77.760324,1,451.73,23.706,30.76,1.0,Rajajinagar,Whitefield
2025-10-05 15:22:47,2025-10-05 15:46:14,12.964469,77.754288,12.927083,77.624307,1,305.49,14.686,23.46,1.0,Whitefield,Koramangala
2025-10-06 02:54:40,2025-10-06 03:22:21,12.889065,77.580598,13.023735,77.59376,2,317.17,15.042,27.69,1.0,Bannerghatta,Hebbal
2025-10-09 03:38:34,2025-10-09 04:02:39,12.842067,77.686085,12.932632,77.591911,1,301.23,14.339,24.09,1.0,Electronic_City,Jayanagar
2025-10-04 09:55:51,2025-10-04 11:37:53,12.834005,77.683683,13.027065,77.534782,1,605.9,26.856,102.04,1.0,Electronic_City,Rajajinagar
2025-10-07 00:36:06,2025-10-07 01:14:42,13.088151,77.590763,12.830327,77.681588,1,562.57,30.311,38.6,1.0,Yelahanka,Electronic_City
2025-10-05 13:51:06,2025-10-05 14:08:06,13.024204,77.607637,13.0881,77.586931,1,187.27,7.451,17.01,1.0,Hebbal,Yelahanka
2025-10-03 21:19:25,2025-10-03 21:52:03,12.952352,77.629571,13.068299,77.595192,1,300.26,13.42,32.64,1.0,Koramangala,Yelahanka
2025-10-04 07:40:13,2025-10-04 08:16:12,12.963901,77.746381,12.967518,77.656666,1,374.9,9.73,35.99,1.5,Whitefield,Indiranagar
2025-10-03 20:40:56,2025-10-03 21:16:47,12.877011,77.564891,12.937636,77.626776,2,246.43,9.51,35.86,1.0,Bannerghatta,Koramangala
2025-10-07 00:27:01,2025-10-07 00:34:55,13.015134,77.564328,12.9732,77.605,1,158.1,6.416,7.91,1.0,Rajajinagar,MG_Road
2025-10-07 14:59:04,2025-10-07 15:26:26,12.88607,77.592612,13.015319,77.555479,2,314.93,14.925,27.37,1.0,Bannerghatta,Rajajinagar
2025-10-10 02:14:35,2025-10-10 02:51:29,12.973373,77.766723,12.893937,77.56951,1,452.26,23.126,36.91,1.0,Whitefield,Bannerghatta
2025-10-08 17:39:23,2025-10-08 18:48:54,12.956651,77.731113,13.077142,77.588238,2,461.36,20.472,69.52,1.0,Whitefield,Yelahanka
2025-10-04 11:01:43,2025-10-04 11:04:55,12.971604,77.600497,12.984493,77.604853,2,92.93,1.509,3.21,1.2,MG_Road,MG_Road
2025-10-05 01:11:59,2025-10-05 01:24:25,12.926315,77.58096,12.974813,77.648347,1,204.83,9.078,12.44,1.0,Jayanagar,Indiranagar
2025-10-11 08:02:44,2025-10-11 08:06:35,12.92107,77.592096,12.922799,77.584075,3,69.15,0.89,3.86,1.0,Jayanagar,Jayanagar
2025-10-03 09:42:41,2025-10-03 10:36:18,12.880474,77.574942,13.035707,77.590359,3,390.56,17.342,53.62,1.0,Bannerghatta,Hebbal
2025-10-06 01:27:36,2025-10-06 01:38:38,13.008185,77.564384,13.02651,77.605619,3,140.2,4.91,11.03,1.0,Rajajinagar,Hebbal
2025-10-02 09:05:30,2025-10-02 10:20:03,12.953208,77.740177,13.07909,77.582962,1,492.54,22.046,74.56,1.0,Whitefield,Yelahanka
2025-10-03 14:16:04,2025-10-03 14:40:23,13.029985,77.605362,12.934719,77.579302,2,250.93,10.963,24.33,1.0,Hebbal,Jayanagar
2025-10-04 18:04:56,2025-10-04 18:26:11,12.977091,77.592998,12.928929,77.621663,1,174.74,6.191,21.25,1.0,MG_Road,Koramangala
2025-10-05 07:04:02,2025-10-05 07:10:31,12.885125,77.564237,12.874902,77.571377,1,80.36,1.375,6.49,1.0,Bannerghatta,Bannerghatta
2025-10-10 16:57:29,2025-10-10 17:00:56,12.964861,77.758444,12.960666,77.753395,1,85.78,0.719,3.46,1.3,Whitefield,Whitefield
2025-10-05 01:57:01,2025-10-05 02:16:21,13.018844,77.564445,12.935258,77.615251,2,241.06,10.802,19.35,1.0,Rajajinagar,Koramangala
2025-10-06 21:08:56,2025-10-06 23:13:02,12.835423,77.664975,13.082534,77.591518,1,665.26,28.607,124.1,1.0,Electronic_City,Yelahanka
2025-10-05 02:49:26,2025-10-05 02:50:26,12.989972,77.603453,12.978678,77.595581,1,111.41,1.518,1.0,1.5,MG_Road,MG_Road
2025-10-11 03:27:33,2025-10-11 03:30:40,13.04712,77.597861,13.029605,77.599325,1,83.99,1.954,3.12,1.0,Hebbal,Hebbal
2025-10-01 21:16:13,2025-10-01 21:54:30,12.972281,77.750991,13.026792,77.587059,1,388.95,18.767,38.3,1.0,Whitefield,Hebbal
2025-10-05 22:44:00,2025-10-05 22:54:46,12.936771,77.622048,12.981251,77.638064,2,144.78,5.242,10.77,1.0,Koramangala,Indiranagar
2025-10-10 10:14:26,2025-10-10 11:39:09,12.898616,77.578664,13.090984,77.59846,3,499.56,21.498,84.73,1.0,Bannerghatta,Yelahanka
2025-10-06 18:49:39,2025-10-06 19:25:32,12.969947,77.598712,13.027979,77.605231,1,201.21,6.491,35.9,1.0,MG_Road,Hebbal
2025-10-06 00:16:58,2025-10-06 00:30:01,12.883398,77.572216,12.964052,77.613622,1,220.02,10.028,13.06,1.0,Bannerghatta,MG_Road
2025-10-08 13:24:10,2025-10-08 14:44:58,13.081787,77.603034,12.836689,77.66026,1,590.48,27.95,80.82,1.0,Yelahanka,Electronic_City
2025-10-08 19:01:02,2025-10-08 19:39:26,12.890489,77.566824,13.015754,77.555249,1,317.38,13.985,38.4,1.0,Bannerghatta,Rajajinagar
2025-10-05 13:10:44,2025-10-05 13:15:06,12.904838,77.560589,12.872162,77.567253,3,112.13,3.705,4.38,1.0,Bannerghatta,Bannerghatta
2025-10-04 01:48:55,2025-10-04 02:04:09,12.967959,77.654672,13.003209,77.561796,1,234.87,10.8,15.25,1.0,Indiranagar,Rajajinagar
2025-10-04 06:35:57,2025-10-04 06:58:54,13.010633,77.57118,12.969174,77.650589,1,230.86,9.761,22.96,1.0,Rajajinagar,Indiranagar
2025-10-07 16:04:49,2025-10-07 16:07:07,12.950502,77.60711,12.934658,77.634034,2,104.6,3.408,2.31,1.0,Koramangala,Koramangala
2025-10-10 15:54:58,2025-10-10 16:24:56,13.005172,77.561541,12.901861,77.588142,2,272.63,11.844,29.98,1.0,Rajajinagar,Jayanagar
2025-10-02 13:50:56,2025-10-02 13:59:03,12.965302,77.596175,12.929025,77.594027,1,122.81,4.041,8.13,1.0,MG_Road,Jayanagar
2025-10-09 05:34:19,2025-10-09 05:40:51,12.969269,77.646955,12.977658,77.603156,1,132.37,4.837,6.54,1.0,Indiranagar,MG_Road
2025-10-06 06:14:05,2025-10-06 06:15:05,12.837266,77.671326,12.83306,77.676584,1,62.54,0.736,1.0,1.0,Electronic_City,Electronic_City
2025-10-02 10:19:12,2025-10-02 11:55:46,12.888211,77.58449,13.080216,77.587641,1,515.15,21.353,96.57,1.0,Bannerghatta,Yelahanka
2025-10-04 04:03:37,2025-10-04 04:41:49,12.835001,77.672016,13.068993,77.594278,4,517.55,27.349,38.22,1.0,Electronic_City,Yelahanka
2025-10-11 02:29:24,2025-10-11 02:40:52,12.98427,77.596358,12.965167,77.650901,2,161.42,6.28,11.48,1.0,MG_Road,Indiranagar
2025-10-11 11:03:59,2025-10-11 11:19:59,12.975622,77.611693,12.891747,77.580158,4,223.0,9.933,16.0,1.0,MG_Road,Bannerghatta
2025-10-08 02:35:10,2025-10-08 03:03:01,12.979217,77.597048,12.825151,77.676459,1,569.05,19.172,27.86,1.5,MG_Road,Electronic_City
2025-10-08 00:43:28,2025-10-08 00:44:28,13.029061,77.607673,13.042559,77.598176,1,78.8,1.82,1.0,1.0,Hebbal,Hebbal
2025-10-03 13:13:50,2025-10-03 13:37:45,12.932769,77.57547,12.979601,77.638369,1,257.46,8.578,23.92,1.2,Jayanagar,Indiranagar
2025-10-08 02:19:32,2025-10-08 02:44:58,12.83774,77.671602,12.964614,77.644696,1,304.26,14.406,25.44,1.0,Electronic_City,Indiranagar
2025-10-07 13:20:16,2025-10-07 13:40:46,13.030243,77.604565,12.930322,77.632289,1,253.41,11.51,20.51,1.0,Hebbal,Koramangala
2025-10-09 18:02:17,2025-10-09 18:32:03,12.972951,77.606568,13.052133,77.609488,2,226.83,8.81,29.78,1.0,MG_Road,Hebbal
2025-10-08 08:57:59,2025-10-08 09:06:53,12.929642,77.589385,12.911217,77.590138,1,94.13,2.05,8.91,1.0,Jayanagar,Jayanagar
2025-10-01 13:23:55,2025-10-01 14:01:56,12.841316,77.670503,13.031929,77.577847,4,458.84,23.454,38.02,1.0,Electronic_City,Hebbal
2025-10-10 05:14:16,2025-10-10 05:45:14,12.889858,77.580906,13.039024,77.600656,1,347.31,16.724,30.97,1.0,Bannerghatta,Hebbal
2025-10-06 01:55:59,2025-10-06 02:23:46,13.082805,77.591457,12.932794,77.622311,1,346.86,17.012,27.79,1.0,Yelahanka,Koramangala
2025-10-08 20:45:05,2025-10-08 21:16:34,13.001108,77.565616,12.954655,77.633961,1,302.48,9.029,31.5,1.3,Rajajinagar,Indiranagar
2025-10-08 04:02:34,2025-10-08 04:15:33,12.978889,77.596165,12.922684,77.591546,1,163.53,6.27,12.99,1.0,MG_Road,Jayanagar
2025-10-05 12:28:54,2025-10-05 12:46:39,13.010893,77.548871,12.92747,77.588078,2,229.68,10.203,17.76,1.0,Rajajinagar,Jayanagar
2025-10-04 21:37:42,2025-10-04 22:15:41,12.976484,77.757592,12.91882,77.58226,3,407.79,20.053,38.0,1.0,Whitefield,Jayanagar
2025-10-02 11:12:16,2025-10-02 12:00:07,12.979759,77.732505,12.889192,77.563372,1,435.51,20.914,47.87,1.0,Whitefield,Bannerghatta
2025-10-01 18:35:38,2025-10-01 19:10:34,12.932922,77.62051,13.00871,77.566423,1,256.38,10.265,34.94,1.0,Koramangala,Rajajinagar
2025-10-07 22:41:34,2025-10-07 22:56:28,12.930014,77.622836,12.885006,77.580261,1,174.47,6.807,14.9,1.0,Koramangala,Bannerghatta
2025-10-09 19:04:41,2025-10-09 19:59:22,12.918964,77.631785,13.010211,77.554272,1,329.62,13.172,54.7,1.0,Koramangala,Rajajinagar
2025-10-09 11:10:12,2025-10-09 11:22:29,13.036195,77.575633,13.005453,77.550784,2,133.7,4.351,12.29,1.0,Hebbal,Rajajinagar
2025-10-08 04:57:32,2025-10-08 05:06:04,12.975274,77.610673,13.020423,77.601029,1,139.73,5.128,8.54,1.0,MG_Road,Hebbal
2025-10-08 18:05:52,2025-10-08 19:23:55,12.976316,77.734679,13.005674,77.545422,1,478.54,20.764,78.05,1.0,Whitefield,Rajajinagar
2025-10-01 18:49:15,2025-10-01 19:17:38,13.017544,77.571545,12.9869,77.591521,1,153.14,4.037,28.4,1.0,Rajajinagar,MG_Road
2025-10-05 07:31:05,2025-10-05 09:29:33,13.085322,77.587157,12.894236,77.566878,2,548.13,21.361,118.47,1.0,Yelahanka,Bannerghatta
2025-10-09 06:10:02,2025-10-09 06:28:24,12.924183,77.583339,12.973635,77.631996,1,191.84,7.618,18.38,1.0,Jayanagar,Indiranagar
2025-10-11 08:10:19,2025-10-11 08:16:24,12.972125,77.607993,12.96686,77.602032,1,72.21,0.872,6.09,1.0,MG_Road,MG_Road
2025-10-02 07:32:21,2025-10-02 07:54:14,12.973779,77.597028,12.937346,77.612657,1,148.71,4.391,21.9,1.0,MG_Road,Koramangala
2025-10-09 13:18:53,2025-10-09 14:00:25,12.964006,77.758111,13.098148,77.594092,1,460.3,23.199,41.54,1.0,Whitefield,Yelahanka
2025-10-10 21:45:57,2025-10-10 21:58:49,12.980877,77.604086,13.017034,77.559784,1,163.24,6.261,12.88,1.0,MG_Road,Rajajinagar
2025-10-09 00:20:51,2025-10-09 00:27:03,12.928556,77.621283,12.924396,77.594707,2,103.06,2.917,6.2,1.0,Koramangala,Jayanagar
2025-10-06 11:51:12,2025-10-06 11:55:34,13.035219,77.608343,13.040622,77.58531,2,114.06,2.566,4.37,1.2,Hebbal,Hebbal
2025-10-01 01:53:30,2025-10-01 02:21:51,12.971293,77.747207,12.886584,77.586715,1,389.24,19.78,28.36,1.0,Whitefield,Bannerghatta
2025-10-02 16:51:26,2025-10-02 17:08:44,13.017854,77.553258,12.985676,77.600453,2,169.59,6.241,17.32,1.0,Rajajinagar,MG_Road
2025-10-04 04:03:52,2025-10-04 04:42:22,13.036025,77.597834,12.828005,77.674613,3,476.48,24.582,38.5,1.0,Hebbal,Electronic_City
2025-10-10 06:20:32,2025-10-10 06:55:33,12.93888,77.626511,13.01193,77.553708,1,272.38,11.323,35.02,1.0,Koramangala,Rajajinagar
2025-10-01 00:21:18,2025-10-01 00:54:52,13.003789,77.552486,12.980517,77.759129,1,657.65,22.539,33.57,1.5,Rajajinagar,Whitefield
2025-10-03 10:28:36,2025-10-03 11:28:15,12.962524,77.762606,12.941486,77.584513,1,431.08,19.44,59.65,1.0,Whitefield,Jayanagar
2025-10-06 04:15:48,2025-10-06 04:31:56,12.832559,77.682506,12.866279,77.565067,3,273.29,13.272,16.13,1.0,Electronic_City,Bannerghatta
2025-10-08 17:50:26,2025-10-08 18:59:29,12.96883,77.643161,12.824929,77.687177,2,404.05,16.697,69.06,1.0,Indiranagar,Electronic_City
2025-10-05 00:48:03,2025-10-05 00:50:04,12.973458,77.634962,12.952042,77.646071,1,93.07,2.668,2.03,1.0,Indiranagar,Koramangala
2025-10-10 00:53:43,2025-10-10 01:09:23,12.894375,77.560095,12.943909,77.617707,1,198.4,8.326,15.67,1.0,Bannerghatta,Koramangala
2025-10-09 02:29:43,2025-10-09 02:32:43,12.971165,77.637697,12.963885,77.633996,1,68.05,0.903,3.0,1.0,Indiranagar,Indiranagar
2025-10-01 04:59:38,2025-10-01 05:27:21,13.016924,77.551762,12.973197,77.732944,1,394.94,20.224,27.72,1.0,Rajajinagar,Whitefield
2025-10-05 12:37:26,2025-10-05 12:43:56,12.94666,77.632571,12.963203,77.645801,1,94.73,2.332,6.5,1.0,Koramangala,Indiranagar
2025-10-09 04:46:30,2025-10-09 04:47:30,12.842693,77.677704,12.841498,77.673579,1,58.5,0.467,1.0,1.0,Electronic_City,Electronic_City
2025-10-04 19:00:17,2025-10-04 19:37:02,12.893864,77.568327,13.034727,77.588412,1,342.34,15.814,36.76,1.0,Bannerghatta,Hebbal
2025-10-06 01:32:04,2025-10-06 01:55:07,13.047522,77.600655,12.881604,77.571193,3,365.44,18.723,23.06,1.0,Hebbal,Bannerghatta
2025-10-02 10:03:20,2025-10-02 10:32:34,13.031549,77.604869,13.024306,77.554631,2,176.39,5.502,29.24,1.0,Hebbal,Rajajinagar
2025-10-03 18:55:27,2025-10-03 19:30:40,13.075946,77.579404,12.985559,77.609593,2,261.37,10.569,35.22,1.0,Yelahanka,MG_Road
2025-10-06 01:54:44,2025-10-06 02:03:02,12.926629,77.5904,12.933475,77.628539,1,125.52,4.203,8.32,1.0,Jayanagar,Koramangala
2025-10-11 17:50:44,2025-10-11 18:11:55,12.941361,77.623248,12.938027,77.573835,1,162.29,5.368,21.18,1.0,Koramangala,Jayanagar
2025-10-06 06:36:12,2025-10-06 06:39:57,12.89287,77.579225,12.89,77.575053,1,63.95,0.554,3.76,1.0,Bannerghatta,Bannerghatta
2025-10-10 22:22:59,2025-10-10 22:46:45,13.037685,77.603167,12.923371,77.63365,1,282.65,13.133,23.77,1.0,Hebbal,Koramangala
2025-10-04 02:06:02,2025-10-04 02:37:43,13.018191,77.560376,12.834087,77.684904,1,465.35,24.52,31.7,1.0,Rajajinagar,Electronic_City
2025-10-09 01:28:02,2025-10-09 01:52:24,12.923342,77.633713,13.083683,77.594,3,361.68,18.341,24.38,1.0,Koramangala,Yelahanka
2025-10-04 07:34:57,2025-10-04 08:24:54,13.093788,77.602381,12.981642,77.607547,2,312.18,12.483,49.96,1.0,Yelahanka,MG_Road
2025-10-11 12:29:19,2025-10-11 13:07:12,12.924699,77.595526,12.970714,77.751102,1,371.11,17.619,37.89,1.0,Jayanagar,Whitefield
2025-10-02 17:03:51,2025-10-02 17:52:11,13.020652,77.561712,12.933403,77.62554,2,301.24,11.914,48.35,1.0,Rajajinagar,Koramangala
2025-10-10 06:05:35,2025-10-10 06:28:59,12.927679,77.59003,13.038846,77.606865,1,272.55,12.495,23.41,1.0,Jayanagar,Hebbal
2025-10-07 09:41:46,2025-10-07 10:26:20,12.970266,77.740756,12.840362,77.681486,1,354.0,15.809,44.58,1.0,Whitefield,Electronic_City
2025-10-05 02:54:41,2025-10-05 03:02:18,12.935907,77.587488,12.929252,77.6294,1,130.46,4.602,7.62,1.0,Jayanagar,Koramangala
2025-10-02 02:52:02,2025-10-02 03:32:20,13.08043,77.585527,12.882624,77.562295,2,442.55,22.139,40.31,1.0,Yelahanka,Bannerghatta
2025-10-01 04:00:08,2025-10-01 04:04:18,12.875132,77.563924,12.897903,77.567366,1,94.66,2.559,4.18,1.0,Bannerghatta,Bannerghatta
2025-10-08 10:33:38,2025-10-08 12:06:51,13.079154,77.589501,12.955131,77.751984,1,525.26,22.362,93.23,1.0,Yelahanka,Whitefield
2025-10-03 03:51:50,2025-10-03 04:06:47,12.896819,77.574298,13.016691,77.56728,1,272.7,13.351,14.96,1.0,Bannerghatta,Rajajinagar
2025-10-11 18:23:05,2025-10-11 18:54:53,12.980312,77.652373,13.005234,77.553476,2,263.74,11.068,31.81,1.0,Indiranagar,Rajajinagar
2025-10-11 01:38:05,2025-10-11 01:39:16,12.890869,77.564149,12.887015,77.58123,1,80.3,1.9,1.19,1.0,Bannerghatta,Bannerghatta
2025-10-10 10:47:53,2025-10-10 11:33:39,12.936245,77.626537,13.034203,77.587999,1,293.63,11.665,45.77,1.0,Koramangala,Hebbal
2025-10-05 07:17:15,2025-10-05 07:20:39,12.917856,77.601679,12.930351,77.615542,1,85.82,2.046,3.41,1.0,Jayanagar,Koramangala
2025-10-11 21:30:56,2025-10-11 22:03:36,12.965801,77.731845,12.933402,77.635126,1,265.24,11.083,32.67,1.0,Whitefield,Koramangala
2025-10-05 08:09:28,2025-10-05 08:58:14,12.977457,77.632416,12.968066,77.754026,1,417.88,13.219,48.78,1.3,Indiranagar,Whitefield
2025-10-01 02:15:28,2025-10-01 03:02:58,12.964207,77.75646,13.091154,77.603102,1,448.27,21.801,47.51,1.0,Whitefield,Yelahanka
2025-10-10 06:32:24,2025-10-10 07:32:10,12.829801,77.689387,13.001456,77.552338,3,502.44,24.186,59.77,1.0,Electronic_City,Rajajinagar
2025-10-09 21:11:00,2025-10-09 21:16:28,12.938986,77.623917,12.928426,77.612381,1,83.95,1.715,5.48,1.0,Koramangala,Koramangala
2025-10-10 16:55:56,2025-10-10 17:41:53,12.833528,77.678925,13.030825,77.600445,1,707.84,23.529,45.97,1.5,Electronic_City,Hebbal
2025-10-04 12:28:23,2025-10-04 13:11:37,12.966861,77.588779,12.82299,77.666951,2,386.41,18.103,43.24,1.0,MG_Road,Electronic_City
2025-10-06 22:19:00,2025-10-06 22:58:50,12.892114,77.579717,13.035904,77.608628,2,460.41,16.293,39.85,1.3,Bannerghatta,Hebbal
2025-10-11 22:10:32,2025-10-11 22:27:04,12.980223,77.645502,12.89054,77.583697,1,255.01,12.013,16.55,1.0,Indiranagar,Bannerghatta
2025-10-11 20:17:40,2025-10-11 20:27:58,12.919006,77.590418,12.890639,77.583477,1,114.11,3.243,10.31,1.0,Jayanagar,Bannerghatta
2025-10-06 13:26:52,2025-10-06 14:20:56,12.846154,77.673349,13.081516,77.608487,1,537.6,27.098,54.08,1.0,Electronic_City,Yelahanka
2025-10-08 20:37:00,2025-10-08 21:40:55,13.026576,77.555777,12.95918,77.745891,1,474.68,21.919,63.92,1.0,Rajajinagar,Whitefield
2025-10-06 11:05:32,2025-10-06 11:56:35,12.976385,77.750487,13.00198,77.546739,1,460.47,22.259,51.06,1.0,Whitefield,Rajajinagar
2025-10-04 02:02:34,2025-10-04 02:33:00,12.983142,77.753016,12.890898,77.568528,1,432.72,22.471,30.44,1.0,Whitefield,Bannerghatta
2025-10-03 02:43:28,2025-10-03 03:14:10,12.922818,77.590124,12.962883,77.753494,1,369.91,18.256,30.71,1.0,Jayanagar,Whitefield
2025-10-06 10:26:24,2025-10-06 11:44:47,12.829074,77.676045,12.969357,77.611003,1,424.36,17.118,78.4,1.0,Electronic_City,MG_Road
2025-10-11 20:55:45,2025-10-11 21:16:46,12.923538,77.600121,12.983721,77.594256,1,182.37,6.722,21.03,1.0,Jayanagar,MG_Road
2025-10-05 05:09:18,2025-10-05 05:29:07,12.98716,77.613633,13.101204,77.599362,1,271.35,12.775,19.82,1.0,MG_Road,Yelahanka
2025-10-06 04:29:34,2025-10-06 04:48:25,12.979623,77.634339,12.967566,77.746151,1,261.12,12.189,18.85,1.0,Indiranagar,Whitefield
2025-10-09 01:54:23,2025-10-09 02:24:10,12.834563,77.669887,12.981556,77.59146,1,445.25,18.423,29.8,1.2,Electronic_City,MG_Road
2025-10-05 10:33:04,2025-10-05 11:10:58,13.034644,77.589514,12.92771,77.586343,1,285.29,11.895,37.9,1.0,Hebbal,Jayanagar
2025-10-04 11:10:49,2025-10-04 11:35:07,12.985272,77.64034,12.88434,77.572771,4,287.47,13.401,24.31,1.0,Indiranagar,Bannerghatta
2025-10-08 23:05:23,2025-10-08 23:41:16,13.02315,77.60416,12.833636,77.678174,1,442.06,22.548,35.89,1.0,Hebbal,Electronic_City
2025-10-06 13:31:27,2025-10-06 14:19:03,13.088592,77.596623,12.888928,77.56622,1,595.52,22.445,47.61,1.3,Yelahanka,Bannerghatta
